code,name,exchange,currency_symbol
TAQA,Taqa Arabia,EGX,EGP
TMGH,T M G Holding,EGX,EGP
TORA,Torah Cement,EGX,EGP
TOUR,Tourism Urbanization,EGX,EGP
TRTO,TransOceans Tours,EGX,EGP
TWSA,TAWASOA For Factoring,EGX,EGP
TYCN,Tycoon Holding Company For Financial Investments,EGX,EGP
UASG,United Arab Shipping,EGX,EGP
UBEE,The United Bank,EGX,EGP
UEFM,Upper Egypt Flour Mills,EGX,EGP
UEGC,Elsaeed Contracting& Real Estate Investment Company SCCD,EGX,EGP
UNBE,"Union National Bank - Egypt "" UNB-E",EGX,EGP
UNIP,Universal For Paper and Packaging Materials (Unipack,EGX,EGP
UNIT,United Housing & Development,EGX,EGP
UTOP,UTOPIA,EGX,EGP
VALU,U Consumer Finance,EGX,EGP
VLMRA,Valmore Holding-EGP,EGX,EGP
WACE,El Wadi For International and Investement Development,EGX,EGP
WATP,Modern Company For Water Proofing (Bitumode),EGX,EGP
WCDF,Middle & West Delta Flour Mills,EGX,EGP
WKOL,Wadi Kom Ombo Land Reclamation,EGX,EGP
ZEOT,Extracted Oils,EGX,EGP
ZMID,Zahraa Maadi Investment & Development,EGX,EGP
